WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Winner,Loser,WRank,LRank,Wsets,Lsets,Comment,PSW_x,PSL,match,win0,confidence0,PSW_y,date
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-20,WTA1000,Outdoor,Hard,Quarterfinals,Kerber A.,Kvitova P.,21,12,1.0,0.0,Retired,2.17,1.78,1820,0,0.6930478751659392,2.17,2021-08-20
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-20,WTA1000,Outdoor,Hard,3rd Round,Teichmann J.,Osaka N.,65,2,2.0,1.0,Completed,4.81,1.22,1821,0,0.9980378305912018,4.81,2021-08-20
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-20,WTA1000,Outdoor,Hard,3rd Round,Badosa P.,Rybakina E.,31,19,2.0,0.0,Completed,2.56,1.58,1822,0,1.1057904410362245,2.56,2021-08-20
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-21,WTA1000,Outdoor,Hard,Quarterfinals,Teichmann J.,Bencic B.,65,11,2.0,0.0,Completed,3.09,1.43,1823,0,1.1352480387687682,3.09,2021-08-21
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-21,WTA1000,Outdoor,Hard,Quarterfinals,Pliskova Ka.,Badosa P.,6,31,1.0,0.0,Retired,1.54,2.66,1824,1,0.92715416431427,1.54,2021-08-21
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-21,WTA1000,Outdoor,Hard,Semifinals,Barty A.,Kerber A.,1,21,2.0,0.0,Completed,1.3,3.92,1825,1,0.9962595343589784,1.3,2021-08-21
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-21,WTA1000,Outdoor,Hard,Semifinals,Teichmann J.,Pliskova Ka.,65,6,2.0,0.0,Completed,3.05,1.43,1826,0,1.1419085294008253,3.05,2021-08-21
43,Cleveland,Tennis in the Land,2021-08-22,WTA250,Outdoor,Hard,1st Round,Mcnally C.,Danilina A.,134,294,2.0,1.0,Completed,,,1827,0,,,2021-08-22
43,Cleveland,Tennis in the Land,2021-08-22,WTA250,Outdoor,Hard,1st Round,Podoroska N.,Pera B.,37,84,2.0,0.0,Completed,,,1828,0,,,2021-08-22
43,Cleveland,Tennis in the Land,2021-08-22,WTA250,Outdoor,Hard,1st Round,Begu I.,Alexandrova E.,74,34,2.0,0.0,Completed,,,1829,0,,,2021-08-22
42,Chicago,Chicago Women's Opeen,2021-08-22,WTA250,Outdoor,Hard,1st Round,Abanda F.,Kovinic D.,361,65,2.0,0.0,Completed,,,1830,0,,,2021-08-22
42,Chicago,Chicago Women's Opeen,2021-08-22,WTA250,Outdoor,Hard,1st Round,Kanepi K.,Kalinina A.,70,75,2.0,1.0,Completed,,,1831,0,,,2021-08-22
42,Chicago,Chicago Women's Opeen,2021-08-22,WTA250,Outdoor,Hard,1st Round,Paolini J.,Doi M.,98,96,2.0,0.0,Completed,,,1832,0,,,2021-08-22
41,Cincinnati,Western & Southern Financial Group Women's Open,2021-08-22,WTA1000,Outdoor,Hard,The Final,Barty A.,Teichmann J.,1,65,2.0,0.0,Completed,1.2,5.27,1833,1,0.9783986091613769,1.2,2021-08-22
42,Chicago,Chicago Women's Opeen,2021-08-22,WTA250,Outdoor,Hard,1st Round,Gracheva V.,Zidansek T.,88,39,2.0,1.0,Completed,,,1834,0,,,2021-08-22
42,Chicago,Chicago Women's Opeen,2021-08-22,WTA250,Outdoor,Hard,1st Round,Kostyuk M.,Sebov K.,56,312,2.0,0.0,Completed,,,1835,0,,,2021-08-22
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Ferro F.,Sutjiadi A.,80,366,2.0,1.0,Completed,,,1836,0,,,2021-08-23
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Mladenovic K.,Diyas Z.,57,110,2.0,0.0,Completed,,,1837,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Linette M.,Bektas E.,51,337,2.0,0.0,Completed,,,1838,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Kontaveit A.,Davis L.,30,97,2.0,1.0,Completed,,,1839,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Zvonareva V.,Eikeri U.,101,291,2.0,0.0,Completed,,,1840,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Kasatkina D.,Juvan K.,27,109,2.0,0.0,Completed,,,1841,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Fruhvirtova L.,Moore T.,376,434,2.0,0.0,Completed,1.25,4.28,1842,1,1.0564954578876495,1.25,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Garcia C.,Harrison C.,61,340,2.0,0.0,Completed,,,1843,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Sasnovich A.,Mchale C.,99,119,2.0,0.0,Completed,,,1844,0,,,2021-08-23
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Cornet A.,Li A.,68,67,2.0,1.0,Completed,,,1845,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Zhang S.,Trevisan M.,49,105,2.0,0.0,Completed,,,1846,0,,,2021-08-23
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Bogdan A.,Watson H.,106,62,1.0,0.0,Retired,,,1847,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Mattek-Sands B.,Shibahara E.,363,615,2.0,1.0,Completed,1.36,3.34,1848,1,1.1151697540283203,1.36,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Sorribes Tormo S.,Glatch A.,43,297,2.0,0.0,Completed,1.09,8.5,1849,1,0.9748397374153138,1.09,2021-08-23
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Svitolina E.,Burel C.,6,91,1.0,1.0,Retired,,,1850,0,,,2021-08-23
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Martincova T.,Cirstea S.,60,38,2.0,1.0,Completed,,,1851,0,,,2021-08-23
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Van Uytvanck A.,Hibino N.,58,71,2.0,0.0,Completed,,,1852,0,,,2021-08-23
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Vondrousova M.,Gleason Q.,40,467,2.0,0.0,Completed,,,1853,0,,,2021-08-23
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Golubic V.,Osorio M.,45,79,2.0,0.0,Completed,,,1854,0,,,2021-08-23
42,Chicago,Chicago Women's Opeen,2021-08-23,WTA250,Outdoor,Hard,1st Round,Peterson R.,Bouzkova M.,59,86,2.0,0.0,Completed,,,1855,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Hanatani N.,Blinkova A.,402,83,0.0,0.0,Retired,,,1856,0,,,2021-08-23
43,Cleveland,Tennis in the Land,2021-08-23,WTA250,Outdoor,Hard,1st Round,Hercog P.,Mateas M.,85,342,2.0,0.0,Completed,,,1857,0,,,2021-08-23
